STATE,latitude,longitude,Number of Inhabited villages,Number of Uninhabited villages,Number of towns,Number of households,Total Population,Males Population,Females Population,Area (In sq. km),Population per sq. km.
ANDAMAN AND NICOBAR ISLANDS,11.66703,92.73598,396,159,5,"94,551","3,80,581","2,02,871","1,77,710",8249,46
ANDHRA PRADESH,14.75043,78.57003,"26,286","1,514",353,"2,10,22,588","8,45,80,777","4,24,42,146","4,21,38,631",275045,308
ARUNACHAL PRADESH,27.1004,93.6166,"5,258",331,27,"2,70,577","13,83,727","7,13,912","6,69,815",83743,17
ASSAM,26.74998,94.21667,"25,372","1,023",214,"64,06,471","3,12,05,576","1,59,39,443","1,52,66,133",78438,398
BIHAR,25.78541,87.47997,"39,073","5,801",199,"1,89,13,565","10,40,99,452","5,42,78,157","4,98,21,295",94163,"1,106"
CHANDIGARH,22.09042,82.15999,5,0,6,"2,41,173","10,55,450","5,80,663","4,74,787",114,"9,258"
CHHATTISGARH,20.26658,73.01662,"19,567",559,182,"56,50,724","2,55,45,198","1,28,32,895","1,27,12,303",135192,189
DADRA & NAGAR HAVELI,28.66999,77.23,65,0,6,"76,458","3,43,709","1,93,760","1,49,949",491,700
DAMAN & DIU,15.492,73.818,19,0,8,"60,956","2,43,247","1,50,301","92,946",111,"2,191"
DELHI,23.22,72.68,103,9,113,"34,35,999","1,67,87,941","89,87,326","78,00,615",1483,"11,320"
GOA,28.45001,77.01999,320,14,70,"3,43,611","14,58,545","7,39,140","7,19,405",3702,394
GUJARAT,31.10003,77.1666,"17,843",382,348,"1,22,48,428","6,04,39,692","3,14,91,260","2,89,48,432",196244,308
HARYANA,34.29996,74.46666,"6,642",199,154,"48,57,524","2,53,51,462","1,34,94,734","1,18,56,728",44212,573
HIMACHAL PRADESH,23.80039,86.41999,"17,882","2,808",59,"14,83,280","68,64,602","34,81,873","33,82,729",55673,123
JAMMU & KASHMIR,12.57038,76.92,"6,337",216,122,"21,19,718","1,25,41,302","66,40,662","59,00,640",222236,124
JHARKHAND,8.900373,76.56999,"29,492","2,902",228,"62,54,781","3,29,88,134","1,69,30,315","1,60,57,819",79716,414
KARNATAKA,10.56257,72.63687,"27,397","1,943",347,"1,33,57,027","6,10,95,297","3,09,66,657","3,01,28,640",191791,319
KERALA,21.30039,76.13002,"1,017",1,520,"78,53,754","3,34,06,061","1,60,27,412","1,73,78,649",38852,860
LAKSHADWEEP,19.25023,73.16017,6,15,6,"11,574","64,473","33,123","31,350",30,"2,149"
MADHYA PRADESH,24.79997,93.95002,"51,929","2,974",476,"1,50,93,256","7,26,26,809","3,76,12,306","3,50,14,503",308252,236
MAHARASHTRA,25.57049,91.88001,"40,959","2,706",534,"2,44,21,519","11,23,74,333","5,82,43,056","5,41,31,277",307713,365
MANIPUR,23.7104,92.72001,"2,515",67,51,"5,57,859","28,55,794","14,38,586","14,17,208",22327,128
MEGHALAYA,25.667,94.11657,"6,459",380,22,"5,48,059","29,66,889","14,91,832","14,75,057",22429,132
MIZORAM,19.82043,85.90002,704,126,23,"2,22,853","10,97,206","5,55,339","5,41,867",21081,52
NAGALAND,11.93499,79.83,"1,400",28,26,"3,96,002","19,78,502","10,24,649","9,53,853",16579,119
ODISHA,31.51997,75.98,"47,675","3,636",223,"96,37,820","4,19,74,218","2,12,12,136","2,07,62,082",155707,270
PUDUCHERRY,26.45,74.63998,90,0,10,"3,02,450","12,47,953","6,12,511","6,35,442",490,"2,547"
PUNJAB,27.33333,88.61665,"12,168",413,217,"55,13,071","2,77,43,338","1,46,39,465","1,31,03,873",50362,551
RAJASTHAN,12.92039,79.15004,"43,264","1,408",297,"1,27,11,146","6,85,48,437","3,55,50,997","3,29,97,440",342239,200
SIKKIM,17.3667,78.4667,425,26,9,"1,29,006","6,10,577","3,23,070","2,87,507",7096,86
TAMIL NADU,23.8354,91.28,"15,049",930,"1,097","1,85,24,982","7,21,47,030","3,61,37,975","3,60,09,055",130060,555
TRIPURA,27.59998,78.05001,863,12,42,"8,55,556","36,73,917","18,74,376","17,99,541",10486,350
UTTAR PRADESH,30.32041,78.05001,"97,814","8,960",915,"3,34,48,035","19,98,12,341","10,44,80,510","9,53,31,831",240928,829
UTTARAKHAND,22.58039,88.32995,"15,745","1,048",115,"20,56,975","1,00,86,292","51,37,773","49,48,519",53483,189
WEST BENGAL,,,"37,469","2,734",909,"2,03,80,315","9,12,76,115","4,68,09,027","4,44,67,088",88752,"1,028"
